time(s),lattitude,longitude,altitude
1731065670,55.3677439,10.4312192,80.56174604744389
1731065670,55.3677441,10.4312143,81.44875410873756
1731065670,55.3677434,10.431209,81.93776396797804
1731065670,55.3677427,10.4312054,81.36677094411488
1731065670,55.3677431,10.4311995,81.6807804524834
1731065671,55.3677425,10.4311968,79.78278577786267
1731065671,55.367743,10.4311904,82.28879600975407
1731065671,55.3677414,10.4311865,81.52780461417962
1731065671,55.3677402,10.4311842,81.49781000753595
1731065671,55.3677396,10.4311782,81.80982092936009
1731065672,55.3677385,10.4311751,80.6888275550127
1731065672,55.3677379,10.4311704,81.13083627211523
1731065672,55.3677377,10.4311682,80.6308402518795
1731065672,55.3677372,10.4311641,80.40884782702122
1731065672,55.3677369,10.4311604,80.45685447500341
1731065673,55.3677376,10.431154,80.67786445793197
1731065673,55.3677381,10.43115,79.6398706195013
1731065673,55.3677393,10.4311441,80.20287913247316
1731065673,55.3677394,10.4311394,79.1628869787027
1731065673,55.3677392,10.4311358,78.01889333263696
1731065674,55.3677383,10.4311331,78.03589903102963
1731065674,55.3677386,10.4311295,77.58190476297844
1731065674,55.3677409,10.431124,77.56891122919333
1731065674,55.3677404,10.4311194,77.45291965212863
1731065674,55.3677409,10.4311145,77.46892733987039
1731065675,55.3677398,10.4311107,77.50793515244355
1731065675,55.3677405,10.4311036,78.58494632223766
1731065675,55.3677404,10.4311009,76.54395102541828
1731065675,55.36774,10.4310985,75.85395559301632
1731065675,55.3677396,10.4310934,75.82596473937966
1731065676,55.3677391,10.4310902,75.75697078802176
1731065676,55.3677397,10.4310838,75.98398089501883
1731065676,55.3677391,10.4310809,76.93098655927717
1731065676,55.3677393,10.4310748,77.53099665504655
1731065676,55.3677383,10.4310748,77.77199789895155
1731065677,55.3677379,10.4310703,77.64100602771731
1731065677,55.3677383,10.4310679,78.69500960012746
1731065677,55.3677381,10.4310647,79.7850152755268
1731065677,55.3677374,10.4310618,78.93402106411992
1731065677,55.3677375,10.4310595,79.86002484010275
1731065678,55.3677367,10.4310603,80.75002447856454
1731065678,55.3677359,10.4310589,79.51702784781162
1731065678,55.3677352,10.4310561,79.35703346679907
1731065678,55.3677341,10.4310541,78.39003822668087
1731065678,55.3677343,10.4310468,79.58005035727932
1731065679,55.3677337,10.4310431,79.82105737806188
1731065679,55.3677332,10.4310379,79.9540668181363
1731065679,55.3677322,10.4310349,78.76107314937519
1731065679,55.3677316,10.4310326,77.3580777960066
1731065679,55.3677313,10.4310286,78.10508495231375
1731065680,55.367731,10.4310241,78.44209295649853
1731065680,55.3677313,10.431019,79.39510123182676
1731065680,55.3677304,10.4310151,78.47210896481614
1731065680,55.3677292,10.4310138,76.63811266192732
1731065680,55.3677284,10.4310087,76.13612230542782
1731065681,55.3677282,10.431004,76.40013052430135
1731065681,55.3677274,10.431001,76.52813660665271
1731065681,55.3677271,10.4309956,76.68214613690748
1731065681,55.3677274,10.430991,76.24015356424574
1731065681,55.3677263,10.4309885,74.79215917182455
1731065682,55.3677255,10.4309833,74.82916898477352
1731065682,55.3677246,10.430979,75.09217739590447
1731065682,55.367723,10.4309761,74.68918430362876
1731065682,55.3677217,10.4309743,74.8101889728832
1731065682,55.3677217,10.4309682,75.02219931688194
1731065683,55.3677205,10.4309633,74.57620911850387
1731065683,55.3677197,10.4309595,74.51521655728965
1731065683,55.3677199,10.4309543,74.25022512630932
1731065683,55.3677196,10.4309524,74.1662287213116
1731065683,55.3677194,10.4309498,74.67723337893818
1731065684,55.3677194,10.4309463,74.39223931395296
1731065684,55.3677194,10.4309428,74.76824524895824
1731065684,55.3677197,10.4309389,74.904251489112
1731065684,55.3677187,10.4309351,75.09725917656282
1731065684,55.3677178,10.430932,74.81126555262651
1731065685,55.367717,10.4309275,74.29127417828542
1731065685,55.3677163,10.4309228,73.91628301868866
1731065685,55.3677162,10.4309201,73.80228772144241
1731065685,55.3677156,10.4309169,73.61729389390126
1731065685,55.3677152,10.4309133,73.7283004958799
1731065686,55.3677148,10.4309115,73.30930404560917
1731065686,55.367714,10.4309068,73.07331301030892
1731065686,55.3677133,10.4309036,72.02231930709311
1731065686,55.3677128,10.4309019,71.83432281160495
1731065686,55.3677124,10.4308973,72.69833110920571
1731065687,55.367712,10.4308965,73.49733296322752
1731065687,55.3677115,10.430895,72.8893361285897
1731065687,55.3677115,10.4308908,72.52334325041278
1731065687,55.3677115,10.4308889,73.78534647218541
1731065687,55.3677125,10.4308858,76.88835048505857
1731065688,55.3677119,10.4308846,77.61935326607713
1731065688,55.3677152,10.4307798,81.69952686356815
1731065688,55.3677146,10.4307293,81.2026132358832
1731065688,55.3677141,10.4307063,80.47165285507504
1731065688,55.3677134,10.4306834,80.40869255301587
1731065689,55.3677128,10.4306675,81.15572025770345
1731065689,55.3677128,10.4306582,81.10873602580617
1731065689,55.3677123,10.4306471,81.28175546750506
1731065689,55.3677105,10.4306379,81.60377330434885
1731065689,55.3677095,10.4306319,81.60778472074944
1731065690,55.3677077,10.4306286,82.08679255420175
1731065690,55.3677071,10.4306236,82.26280177765315
1731065690,55.3677052,10.4306209,82.4648087181333
1731065690,55.3677039,10.4306149,82.21382050746826
1731065690,55.3677028,10.4306048,81.88183899938744
1731065691,55.3677011,10.4305923,81.08886230636435
1731065691,55.3676996,10.4305819,80.91688180409517
1731065691,55.3676996,10.4305755,79.94689265480528
1731065691,55.3676982,10.4305721,80.23290016011833
1731065691,55.3676974,10.4305665,79.54491064923126
1731065692,55.3676972,10.4305638,79.47991547553924
1731065692,55.3676967,10.4305616,79.4799198271793
1731065692,55.3676963,10.4305592,78.48092439354761
1731065692,55.3676937,10.4305571,78.56493118691128
1731065692,55.3676915,10.4305546,78.15493816101758
1731065693,55.3676901,10.4305519,78.09894447942007
1731065693,55.3676894,10.4305477,77.32495247049225
1731065693,55.3676879,10.4305437,76.82096111721157
1731065693,55.367685,10.4305416,76.97796828345082
1731065693,55.367684,10.4305394,77.18497325671316
1731065694,55.3676818,10.4305379,77.36097853527819
1731065694,55.3676794,10.4305369,77.3559832148039
1731065694,55.3676773,10.4305358,77.63998769082609
1731065694,55.3676751,10.430536,77.71699008717088
1731065694,55.3676727,10.4305354,77.72499408846826
1731065695,55.3676701,10.4305357,77.89399681256975
1731065695,55.3676679,10.4305362,78.02099870023285
1731065695,55.3676656,10.4305361,78.05000172943286
1731065695,55.367663,10.4305358,78.05500547067862
